SOPR,date,Active_MVRV,Price,buy_score,sell_score
1.0250168726,2020-07-09,0.9578774487,9329.1866666667,0.0,0.15954764604712002
1.0104245686,2020-07-10,0.9445727465,9201.6379166667,0.0,0.1572975140671529
1.0057053941,2020-07-11,0.9481687658,9239.9975,0.0,0.15707483924722912
1.0102112901,2020-07-12,0.9491400756,9253.0458333333,0.0,0.15756907924059932
1.000586467,2020-07-13,0.9514984314,9278.87875,0.0,0.1567967964171006
1.0400855206,2020-07-14,0.9450839685,9221.0558333333,0.0,0.1601748319075355
1.0272688917,2020-07-15,0.9447082002,9222.2091666667,0.0,0.15892162843363472
1.0086015695,2020-07-16,0.9357341263,9133.7525,0.0,0.1565575678342983
0.9990005213,2020-07-17,0.9357898702,9136.0475,0.0,0.15564034389325512
1.0043408396,2020-07-18,0.9382724341,9162.595,0.0,0.15631123360922136
1.0223918647,2020-07-19,0.9375589096,9159.4075,0.0,0.15799679586083845
1.0024849509,2020-07-20,0.9391442013,9177.6366666667,0.0,0.15618898255995667
1.0020117472,2020-07-21,0.9525307972,9313.09875,0.0,0.1569994938305784
1.0250470641,2020-07-22,0.9575160197,9366.4508333333,0.0,0.15952743300861305
1.0203463956,2020-07-23,0.9749061272,9544.8579166667,0.0,0.16018848053694218
1.027479146,2020-07-24,0.9755614739,9557.5283333333,0.0,0.1609144472459453
1.0269987851,2020-07-25,0.9815116057,9622.5083333333,0.0,0.16124880964237484
1.0232621265,2020-07-26,1.0026106565,9838.5775,0.0,0.16223944782928562
1.0422052026,2020-07-27,1.0633505294,10472.2283333333,0.0,0.167939685396165
1.0716387282,2020-07-28,1.1119203997,10984.0804166667,0.0,0.17386789999665223
1.0728272326,2020-07-29,1.1211907108,11097.8783333333,0.0,0.17457459591087432
1.0708719007,2020-07-30,1.11309845,11034.5279166667,0.0,0.1738696780136288
1.0675604718,2020-07-31,1.128100768,11202.0720833333,0.0,0.17451129327521447
1.0546463943,2020-08-01,1.1678896718,11617.8054166667,0.0,0.1758167378296742
1.0912017369,2020-08-02,1.1354790514,11305.7525,0.0,0.17725035013565238
1.119596747,2020-08-03,1.1258528796,11246.065,0.0,0.17935810707559108
1.0443000111,2020-08-04,1.1239820606,11237.7779166667,0.0,0.17201716374944703
